name,"Country of Origin","Unit of Quantity",Product description,product_code
"Electrode, bipolar, small",DE,PAK,"Bipolar Cutting Loop, small, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26040 DB/EB and 27040 DB/EB as well as 12� Telescopes 26105 FA/27005 FA and 30� Telescopes 26105 BA/27005 BA",011161-10
"Electrode, bipolar, longitudinal",DE,PAK,"Bipolar Cutting Loop, longitudinal, 2 guide rods, 24/26 Fr., color code: yellow-orange, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26040 DB/EB and 27040 DB/EB as well as 12� Telescopes 26105 FA/27005 FA and 30� Telescopes 26105 BA/27005 BA",011162-10
"Electrode, bipolar, pointed",DE,PAK,"Bipolar Coagulation Electrode, pointed, 2 guide rods, 24/26 Fr., color code: yellow, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26040 DB/EB and 27040 DB/EB as well as 12� Telescopes 26105 FA/27005 FA and 30� Telescopes 26105 BA/27005 BA",011163-10
"Electrode, bipolar",DE,PAK,"Cutting Loop, bipolar, diameter 0.30 mm, 2 guide rods, 24/26 Fr., color code: yellow-orange, sterile, for single use, package of 10, for use with Working Elements 27040 DB/EB",011165-10
"Electrode, bipolar, rectangular",DE,PAK,"Cutting Loop, bipolar, rectangular, longitudinal, diameter 0.30 mm, 2 guide rods, 24/26 Fr., color code: yellow-orange, sterile, for single use, package of 10, for use with Working Elements 27040 DB/EB",011166-10
"Electrode, bipolar, longitudinal",DE,PAK,"Cutting Loop, bipolar, longitudinal, diameter 0.30 mm, 2 guide rods, 24/26 Fr., color code: yellow-orange, sterile, for single use, package of 10, for use with Working Elements 27040 DB/EB",011167-10
"Electrode, bipolar",DE,PAK,"Cutting Loop, bipolar, diameter 0.40 mm, 2 guide rods, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 27040 DB/EB",011168-10
"Electrode, bipolar, hemispherical",DE,PAK,"VapoEnucleation Electrode, bipolar, hemispherical, 2 guide rods, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 27040 DB/EB",011169-10
"Electrode, bipolar",DE,PAK,"Cutting Loop, bipolar, extra-long, 2 guide rods, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 27040 DO/EO",011180-10
"Electrode, bipolar, pointed",DE,PAK,"Coagulation Electrode, bipolar, extra-long, pointed, 2 guide rods, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 27040 DO/EO",011181-10
"Electrode, bipolar, ball end",DE,PAK,"Vaporization Electrode, HALF MOON�, bipolar, extra-long, ball end, 2 guide rods, 24/26 Fr., color code: yellow, sterile, for single use, package of 10, for use with Working Elements 27040 DO/EO",011182-10
"Electrode, unipolar, angled",DE,PAK,"Unipolar Cutting Loop, angled, 1 guide rod, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27050 C/D/E",011210-10
"Electrode, unipolar, pointed",DE,PAK,"Unipolar Coagulation Electrode, pointed, 1 guide rod, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27050 C/D/E",011211-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, with ball end, diameter 3 mm, 1 guide rod, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27050 C/D/E",011212-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, with ball end, diameter 5 mm, 1 guide rod, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27050 C/D/E",011213-10
"Electrode, unipolar, angled",DE,PAK,"Unipolar Cutting Loop, angled, 2 guide rods, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011214-10
"Electrode, unipolar, pointed",DE,PAK,"Unipolar Coagulation Electrode, pointed, 2 guide rods, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011215-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, ball end, diameter 3 mm, 2 guide rods, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011216-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, ball end, diameter 5 mm, 2 guide rods, 27/28 Fr., color code: brown, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 27040 C/D/E",011217-10
"Electrode, unipolar, angled",DE,PAK,"Unipolar Cutting Loop, angled, 1 guide rod, 22 Fr., color code: white, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26055 E and 27054 E",011220-10
"Electrode, unipolar, VAPORCUT",DE,PAK,"VAPORCUT� Electrode, unipolar, band width 1.2 mm,1 guide rod, 22 Fr., color code: white, sterile, for single use, package of 10, for use with Working Elements 26055 E and 27054 E",011221-10
"Electrode, unipolar, angled 25�",DE,PAK,"Unipolar Cutting Loop, angled 25�, 1 guide rod, 22 Fr., color code: white, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26055 E and 27054 E",011222-10
"Electrode, unipolar, pointed",DE,PAK,"Unipolar Coagulation Electrode, pointed, 1 guide rod, 22 Fr., color code: white, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26055 E and 27054 E",011223-10
"Electrode, unipolar, ball end",DE,PAK,"Unipolar Coagulation Electrode, with ball end, diameter 3 mm, 1 guide rod, 22 Fr., color code: white, for single use, sterile, package of 10, for use with KARL STORZ Working Elements 26055 E and 27054 E",011224-10
"Electrode, unipolar, cylindrical",DE,PAK,"Unipolar Roller Electrode, cylindrical, 1 guide rod, 22 Fr., color code: white, for single use, sterile, package of 10 for use with KARL STORZ Working Elements 26055 E and 27054 E",011225-10
"Electrode, bipolar",DE,PAK,"Bipolar Cutting Loop, 2 guide rods, 22 Fr., for single use, sterile, package of 10, color code: white, for use with KARL STORZ Working Elements 26055 EB and 27054 EB",011250-10
"Electrode, bipolar, pointed",DE,PAK,"Bipolar Coagulation Electrode, pointed, 2 guide rods, 22 Fr., for single use, sterile, package of 10, color code: white, for use with KARL STORZ Working Elements 26055 EB and 27054 EB",011251-10
"Electrode, bipolar, ball end",DE,PAK,"Bipolar Coagulation Electrode, ball end, 2 guide rods, 22 Fr., for single use, sterile, package of 10, color code: white, for use with KARL STORZ Working Elements 26055 EB and 27054 EB",011252-10
VERESS Pneumoperitoneum Needle,FR,pc,"VERESS Pneumoperitoneum Needle, length 120 mm, insufflation stopcock with male and female LUER-Locks, for single use, sterile, package of 10",020180-10
VERESS Pneumoperitoneum Needle,FR,pc,"VERESS Pneumoperitoneum Needle, length 120 mm, for single use, sterile,package of 10",020181-10
VERESS Pneumoperitoneum Needle,FR,PAK,"VERESS Pneumoperitoneum Needle, length 150 mm, insufflation stopcock with male and female LUER-Locks, for single use, sterile, package of 10",020190-10
Valve Seal,DE,PAK,"Valve Seal, for instruments size 2 mm, color code: blue, sterile, for single use, package of 10",021099-10
Trocar Valve,DE,pc,"Trocar Valve, size 6 mm, for single use, sterile, package of 5, for use with KARL STORZ trocar cannulas size 6 mm",021108-05
Trocar Valve,DE,pc,"Trocar Valve, size 11 mm, for single use, sterile, package of 5, for use with KARL STORZ trocar cannulas size 11 mm",021109-05
Valve Seal,DE,PAK,"Valve Seal, for instruments size 3 and 3,5 mm, color code: green, sterile, for single use, package of 10",021199-10
Valve Seal,DE,PAK,"Valve Seal, for instruments size 5 mm, color code: black, sterile, for single use, package of 10",021299-10
Valve Seal,DE,PAK,"Valve Seal, for instruments size 10 mm, color code: green, sterile, for single use, package of 10",021399-10
Valve Seal,DE,PAK,"Valve Seal, for instruments size 13 mm, color code: blue, sterile, for single use, package of 10 for use with linear staplers",021499-10
Irrigation/Suction Handle,,PAK,"Irrigation/Suction Handle, with Suction Tube and Irrigation/Suction Probe for single use, sterile, package of 10, for usein combination with irrigation tubing sets with patient-side silicone tube (inner diameter 5 mm)",030138-10
Tubing set for suction,GB,pc,"Single-use tubing set for suction, consisting of patient tube and pump tube. For use with KARL STORZ suction as well as suction and irrigation pumps and suction bottle cap 20300034. Sterile, 10 per pack.",030147-10
Irrigation/Suction Handle,MC,PAK,"Irrigation/Suction Handle with Irrigation and Suction Tube Irrigation/Suction Probe, for single use, sterile, package of 10, for use with irrigation liquid bags (without pump)",030238-10
Y-tubing set for suction,GB,PAK,"Single-use Y-tubing set for suction. For use with resectoscopes, collection bags and other suction instruments. Sterile, 10 per pack.",030247-10
"Tubing Set, Suction, Patient",GB,PAK,"Tubing Set for Suction, 250 cm, with male LUER-Lock, sterile, for single use, package of 10",030248-10
"Tubing Set, Suction, Patient ST",GB,PAK,"Tubing Set for Suction, 250 cm, with silicone tubing, sterile, for single use, package of 10",030249-10
"Secretion Container, 1.5 l",CH,pc,"Secretion Container, 1.5 l",030301-01
"Secretion Container, 2.5 l",CH,pc,"Secretion Container, 2.5 l",030302-01
"Suction Liner, 1.5 l",DE,PAK,"Suction Liner, 1.5 l, for single use, package of 40",030310-40
"Disp. Suction Liner, 1.5 l w/ solidifier",DE,PAK,"Disposable Suction Liner, 1.5 l, with solidifier, for single use, package of 30",030315-30
"Suction Liner, 2.5 l",DE,PAK,"Suction Liner, 2.5 l, for single use, package of 40",030320-40
"Disp. Suction Liner, 2.5 l w/ solidifier",DE,PAK,"Disposable Suction Liner, 2.5 l, with solidifier, for single use, package of 30",030325-30
"Serial Connection, Patient (100 pcs)",CH,PAK,"Serial Connection, Patient, package of 100",030331-100
"Serial Connection, Patient, 1 pc",CH,pc,"Serial Connection, Patient, 1 pc",030332-01
"Serial Connection, vacuum",CH,pc,"Serial Connection, vacuum",030341-01
Vacuum Tubing w/ straight coupling piece,CH,pc,"Vacuum Tubing, with straight coupling piece (for disposable system)",030342-01
"Silicone Tubing � 7x12 mm, 100 cm",CH,pc,"Silicone Tubing, � 7x12 mm, 100 cm, without coupling piece",030343-01
"Silicone Tubing � 7x12 mm, 30 cm",CH,pc,"Silicone Tubing, � 7x12 mm, 30 cm, with coupling piece",030346-01
"Clampholder, standard, plastic",CH,PAK,"Clampholder, standard, plastic, package of 5",030350-05
Changeover Valve,CH,pc,"Changeover Valve, clamp holder and tubing set",030351-01
Y-Piece � 7/� 5 mm,CH,PAK,"Y-Piece, diameter 7/diameter 5 mm, package of 10",030360-10
"Y-Piece, � 7 mm",CH,PAK,"Y-Piece, diameter 7 mm, package of 10",030361-10
"Coupling Piece, 077.1011 package of 10",CH,PAK,"Coupling Piece, 077.1011, package of 10",030362-10
Specimen Cup,CH,PAK,"Specimen Cup, for collection system, unsterile, for single use, package of 10",030370-10
Trolley,CH,pc,Trolley,030380-01
Guardian LVC Roll Stand,US,pc,"Guardian LVC Roll Stand, for 1 canister, 12 l",030381-01
"Tubing Set, Suction, ISO",GB,pc,"Tubing Set for Suction, 150 cm, unsterile, for use with pumps with ISO connectors",030448-01
"Tubing Set, Suction, EXTRA-LARGE LL",GB,pc,"Tubing Set for Suction, 150 cm, with EXTRA-LARGE LUER-Lock, unsterile, for use with HAMOU� ENDOMAT� 26331120-1",030547-01
"Tubing Set, Suction, DS",CH,PAK,"Tubing Set, Suction, DS, for single use, sterile, package of 10, for use with KARL STORZ ENDOMAT� Select UP210",030647-10
"Tubing Set, Suction",GB,PAK,"Tubing Set for Suction, 150 cm, unsterile, package of 20",030748-20
Irrigation/Suction Probe,FR,pc,"Irrigation/Suction Probe, diameter 3 mm, length 250 mm, 4 holes, for single use, sterile, package of 10, for use in combination with Irrigation/Suction Handles 030138-01 and 030238-01",030903-10
Irrigation/Suction Probe,,PAK,"Irrigation/Suction Probe, diameter 5 mm, length 450 mm, 16 holes, for single use, sterile, package of 10, for use in combination with Irrigation/Suction Handles 030138-01 and 030238-01",030905-10
Irrigation/Suction Probe,,pc,"Irrigation/Suction Probe, diameter 10 mm, length 330 mm, 16 holes, for single use, sterile, package of 10, for use in combination with Irrigation/Suction Handles 030138-01 and 030238-01",030910-10
"Tubing Set, Suction, LUER",GB,pc,"Tubing Set for Suction, 150 cm, unsterile, for use with pumps with LUER-Lock connectors",030948-01
Tissue Trap Filter with Adaptor,GB,PAK,"Tissue Trap Filter with Adaptor, unsterile, for single use, package of 10, for use with Suction Canister 030306-04 and other suction bottle systems",030970-10
"Solidifier, in container",GB,pc,"Solidifier, in 4-kg container with 36 g dosing spoon, for use with collection systems (consumption: 36 g/l)",030972-04
"Smoke evacuation filter, set with tube",GB,PAK,"Smoke evacuation filter set, with 50-cm-tube with male LUER-Lock, sterile, for single use, package of 10, for use with trocars with LUER-Lock connector",031110-10
Smoke Evacuation Filter,GB,PAK,"Smoke Evacuation Filter, for single use, unsterile, package of 10",031111-10
"Tubing Set, HAMOU ENDOMAT(irrigation)HYS",GB,pc,"Tubing Set, with two puncture needles, for single use, sterile, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331020 (hysteroscopy) and HYSTEROMAT� II",031117-10
"Tubing Set, HAMOU ENDOMAT(irrigation)LAP",GB,pc,"Tubing Set, with two puncture needles, sterile, for single use, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331020 (laparoscopy)",031118-10
"Tubing Set, ENDOMAT LC (irrigation)",GB,pc,"Tubing Set, with two puncture needles, for single use, sterile, package of 10, for use with KARL STORZ ENDOMAT� LC (irrigation)",031119-10
"Filter, Insufflation, with tubing",GB,PAK,"Gas Filter, with tube on patient side and male LUER-Lock, hydrophobic on both sides, for single use, sterile, package of 10, for use with insufflation units with a maximum gas flow of 10 l/min (KARL STORZ ARTHROFLATOR�, CO2- ENDOFLATOR�, Electronic ENDOFLATOR�, N2O-ENDOFLATOR� and LAPAROFLATOR�)",031121-10
"Filter, Insufflation",IT,pc,"Gas Filter, with ISO connectors, hydrophobic on both sides, for single use, sterile, package of 25, for use with insufflation units with a maximum gas flow of 50 l/min (KARL STORZ Electronic ENDOFLATOR�, THERMOFLATOR�, ENDOFLATOR� 40, ENDOFLATOR� 50)",031122-25
"Filter, Insufflation",GB,PAK,"Gas Filter, with male and female LUER-Locks, for single use, sterile, package of 10, for use with insufflation units with a maximum gas flow of 1 l/min (KARL STORZ MICRO HYSTEROFLATOR�)",031123-10
"Filter, Suction",GB,PAK,"Filter for Suction, connection on bottle side with special connection, connection on unit side with cone, for single use, unsterile, package of 10, for use with all currently available suction pumps with tube connections",031124-10
"Tubing set ARTHRO, puncture needles",PL,pc,"Single-use tubing set with two puncture needles. For use with KARL STORZ ARTHROPUMP�, ARTHROPUMP� plus, UROMAT and UROPUMP. Sterile, 10 per pack.",031128-10
"Tubing Set, CLEARVISION (irrigation)",DE,pc,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ CLEARVISION�",031129-10
"Tubing Set, UNIDRIVE II plus",DE,pc,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ UNIDRIVE� II plus",031130-10
"Tubing Set, UNIDRIVE/UNIDRIVE SIII",GB,PAK,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ UNIDRIVE� ENT/ECO/ NEURO, UNIDRIVE� S III ENT/ECO/ NEURO",031131-10
"Tubing Set, Handle 30810",GB,PAK,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ Handle 30810",031132-10
"Tubing Set, 37112 A, 37113 A, 37112 RV",GB,PAK,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ Handles 37112 A (straight), 37113 A (pistol grip) and 37112 RV",031133-10
"Tubing for 37112 A, 37113 A, 37112 RV",GB,PAK,"Single-use tubing set. For use with KARL STORZ handles 37112 A (straight), 37113 A (pistol-shaped) and 37112 RV in combination with irrigation tubing sets with patient-side silicone tube (ID 5 mm). Sterile, 10 per pack.",031134-10
Adaptor for CADIERE handle 38112 C,GB,PAK,"Single-use adaptor with LUER-Lock connector and tube olive. For use with KARL STORZ CADIERE handle 38112 C. Sterile, 10 per pack.",031135-10
"Tubing set HYS, Care-Lock� connectors",PL,pc,"Single-use tubing set with two Care-Lock� connectors. For use with KARL STORZ HAMOU� ENDOMAT� 26331020 (hysteroscopy) and HYSTEROMAT� II. Sterile, 10 per pack.",031140-10
"Tubing Set, with Care Lock� connectorLAP",PL,pc,"Tubing Set, with two Care Lock� connectors, sterile, for single use, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331020 (laparoscopy)",031141-10
"Tubing set ARTHRO, Care-Lock� connectors",PL,pc,"Single-use tubing set with two Care-Lock� connectors. For use with KARL STORZ ARTHROPUMP�, ARTHROPUMP� plus, UROMAT and UROPUMP. Sterile, 10 per pack.",031142-10
Care-Lock� connector,,PAK,"Care-Lock� connector, sterile, for single-use, 100 per pack, for use in combination with tubing sets complete with puncture needles",031151-100
"Day Set, ARTHOPUMP (irrigation)",PL,pc,"Day Set, with two puncture needles, sterile, 10 per pack, for use with KARL STORZ ARTHROPUMP�, ARTHROPUMP� plus, UROMAT and UROPUMP in combination with patient tube 031162-01",031161-10
"Patient Tubing Set, for day sets",GB,pc,"Patient Tube, for single use, sterile, package of 10, for use with Pump Tubing Day Sets 031161-01, 031167-01, 031168-01, 031261-01, 031767-01, 031563-01 and 031564-01",031162-10
"Day Set, HAMOU ENDOMAT(irrigation)HYS",PL,pc,"Day Set, with two puncture needles, sterile, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331020 (hysteroscopy) and HYSTEROMAT� II in combination with Patient Tube 031162-01",031167-10
Pump tubing day set LAP,PL,pc,"Pump tubing day set, with two puncture needles, sterile, 10 per pack, for use with KARL STORZ HAMOU� ENDOMAT� 26331020 (laparoscopy) in combination with patient tube 031162-01",031168-10
"Insufflation Tubing Set, with gas filter",GB,PAK,"Insufflation Tubing Set with Gas Filter, 3 m, hydrophobic on both sides, for single use, sterile, package of 10, for use with insufflation units with a maximum gas flow of 50 l/min (KARL STORZ Electronic ENDOFLATOR�, THERMOFLATOR�, ENDOFLATOR� 40, ENDOFLATOR� 50)",031200-10
"Insufflation tubing set, ENDOFLATOR 50",DE,PAK,"Insufflation Tubing Set with Gas Filter, heated, 3 m, hydrophobic on both sides, for single use, sterile, package of 10, for use with KARL STORZ ENDOFLATOR� 50",031210-10
"Tubing set for HYS E.A.S.I.,URO E.A.S.I.",GB,PAK,"Single-use SUCTION tubing set, sterile, 10 per pack, for use with KARL STORZ HYSTEROMAT E.A.S.I.� and UROMAT E.A.S.I.",031217-10
"Complete tubing set, HAMOU ENDOMAT",GB,PAK,"Complete tubing set, with two puncture needles, sterile, for single use, package of 10, for use with KARL STORZ handles 37112 A (straight), 37113 A (pistol-shaped) and 37112 RV in combination with KARL STORZ HAMOU� ENDOMAT� 26331020 (laparoscopy)",031218-10
"Complete Tubing Set, ENDOMAT LC",GB,PAK,"Complete Tubing Set, with two puncture needles, for single use, sterile, package of 10, for use with KARL STORZ Handles 37112 A (straight), 37113 A (pistol grip) and 37112 RV in combination with KARL STORZ ENDOMAT� LC (irrigation)",031219-10
"Insufflation Tubing Set, with gas filter",GB,pc,"Insufflation Tubing Set with Gas Filter, 3 m, male and female LUER-Locks, hydrophobic on both sides, sterile, for single use, package of 10, for use with insufflation units with a maximum gas flow of 10 l/min (KARL STORZ ARTHROFLATOR, CO2 ENDOFLATOR�, Electronic ENDOFLATOR�, N2O-ENDOFLATOR� and LAPAROFLATOR)",031221-10
"Insufflation Tubing Set, with Gas Filter",GB,pc,"Insufflation Tubing Set with Gas Filter, length 320 cm, hydrophobic on both sides, sterile, for single use, package of 10, including: 10x 031222-01 Gas Filter with insufflation tube, sterile 1x 031822-01 Adaptor with Tube, non-sterile 1x 031922-01 Adaptor, non-sterile, for use with insufflation units with a maximum gas flow of 30 l/min (Electronic ENDOFLATOR�, THERMOFLATOR�)",031222-10
Tubing Set Suction,GB,PAK,"Single-use SUCTION tubing set with two suction tubes. For use with KARL STORZ ARTHROPUMP� Power. Sterile, 10 per pack.",031228-10
"Tubing Set, CLEARVISION II (irrigation)",GB,PAK,"Tubing Set, for single use, sterile, package of 10, for use with KARL STORZ CLEARVISION� II",031229-10
"Tubing Set, 37112 A, 37113 A, 37112 RV",GB,PAK,"Tubing Set, extra long, for single use, sterile, package of 10, for use with KARL STORZ Handles 37112 A (straight), 37113 A (pistol grip) and 37112 RV",031233-10
Tubing set for ENDOMAT� LC (suction),GB,PAK,"Single-use tubing set. For use with KARL STORZ ENDOMAT� LC (suction). Sterile, 10 per pack.",031247-10
Pump Tubing Day Set,GB,PAK,"Pump tubing day set, with two puncture needles, sterile, 10 per pack, for use with KARL STORZ ARTHROPUMP� Power in combination with patient tube 031162-01",031261-10
"Tubing Set,B.I.O.H. Compact Hysteroscope",GB,PAK,"Tubing Set, with Monobloc connector and irrigation and suction tube, for single use, sterile, package of 10, for use with KARL STORZ B.I.O.H.� Compact Hysteroscopes 26252 BB/BC/BH in combination with KARL STORZ HAMOU� ENDOMAT� 26331020 (connection to pump only with one-day tubing Set 031167-01)",031317-10
"Tubing Set, ARTHROPUMP Power(irrigation)",GB,PAK,"Tubing Set IRRIGATION, with two puncture needles, for single use, sterile, package of 10, for use with KARL STORZ ARTHROPUMP� Power",031328-10
"Tubing Set, Suction LAP, S-PILOT",DE,PAK,"Tubing Set, for the suctioning of smoke, gas and fluid, with connector for second suction tube, sterile, for single use, package of 10, for use with KARL STORZ S-PILOTTM (LAP)",031447-10
"Tubing Set, Suction URO/GYN, S-PILOT",DE,PAK,"Tubing Set for Suction, for single use, sterile, package of 10, for use with KARL STORZ S-PILOTTM (URO/GYN)",031457-10
"Tubing Set, Irrigation, PC",CH,PAK,"Tubing Set, Irrigation, PC, for single use, sterile, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331120-1 and ENDOMAT� Select UP210",031523-10
"Tubing Set, Irrigation, FC",CH,PAK,"Tubing Set, Irrigation, FC, sterile, for single use, package of 10, for use with KARL STORZ HAMOU� ENDOMAT� 26331120-1 and ENDOMAT� SELECT UP 210",031524-10
"Tubing Set, Irrigation, CV",CH,PAK,"Tubing Set, Irrigation, CV, for single use, sterile, package of 10, for use with KARL STORZ ENDOMAT� Select UP210",031529-10
"One-Day Tubing Set, Irrigation, PC",CH,PAK,"One-Day Tubing Set, Irrigation, PC, sterile, package of 10, for use with KARL STORZ ENDOMAT� SELECT UP 210 and HAMOU� ENDOMAT� 26331120 in combination with patient tube 031162-10",031563-10
